OnshoreWindPower,HourUTC,ExchangeNordicCountries,OtherRenewable,HourDK,Biomass,HydroPower,ExchangeGreatBelt,ExchangeContinent,OffshoreWindPower,SolarPower,FossilGas,FossilHardCoal,FossilOil,Waste,PriceArea,TotalLoad
65.6,2021-04-30T23:00:00+00:00,1136,,2021-05-01T01:00:00,557.18,,-165,-698,39.03,0,81.01,127.62,25.15,63.65,DK2,1212.58
53.57,2021-04-30T22:00:00+00:00,1065,,2021-05-01T00:00:00,538.88,,-25,-678,43.69,0,76.97,121.09,23.89,63.35,DK2,1258.18
34.73,2021-04-30T21:00:00+00:00,1154,,2021-04-30T23:00:00,539.77,,-172,-532,36.15,0,76.65,120.62,23.8,62.9,DK2,1313.04
37.14,2021-04-30T20:00:00+00:00,1178,,2021-04-30T22:00:00,563.98,,-139,-504,21.58,0,76.15,119.6,23.6,62.69,DK2,1413.05
36.94,2021-04-30T19:00:00+00:00,1224,,2021-04-30T21:00:00,578.64,,-140,-499,4.11,0,110.8,106.17,23.57,61.52,DK2,1494.94
30.7,2021-04-30T18:00:00+00:00,1178,,2021-04-30T20:00:00,716.91,,-258,-546,1.33,4,168.99,154.38,42.16,65.05,DK2,1545.09
31.93,2021-04-30T17:00:00+00:00,1239,,2021-04-30T19:00:00,693.5,,-239,-630,3.24,26.08,202.91,154.19,42.27,64.71,DK2,1576.86
45.68,2021-04-30T16:00:00+00:00,1236,,2021-04-30T18:00:00,667.2,,-197,-578,7.03,64.26,171.42,152.41,41.92,64.72,DK2,1661.3
54.8,2021-04-30T15:00:00+00:00,1357,,2021-04-30T17:00:00,657.18,,-416,-530,13.06,119.7,156.34,137.28,39.01,63.01,DK2,1636.7
55.31,2021-04-30T14:00:00+00:00,1175,,2021-04-30T16:00:00,656.16,,-362,-533,21.55,163.8,124.1,128.18,34.98,62.54,DK2,1510.66
44.5,2021-04-30T13:00:00+00:00,1118,,2021-04-30T15:00:00,655.14,,-394,-506,16.7,206.56,123.37,127.17,34.87,62.16,DK2,1477.86
33.93,2021-04-30T12:00:00+00:00,1200,,2021-04-30T14:00:00,635.47,,-433,-528,5.95,244.58,123.73,127.82,35.2,62.28,DK2,1499
34.33,2021-04-30T11:00:00+00:00,924,,2021-04-30T13:00:00,618.6,,-435,-247,10.5,267.57,121.89,124.86,34.66,62.66,DK2,1499.66
32.91,2021-04-30T10:00:00+00:00,796,,2021-04-30T12:00:00,615.68,,-290,-260,13.85,284.03,125.8,131.11,35.81,62.59,DK2,1524.31
39.47,2021-04-30T09:00:00+00:00,1064,,2021-04-30T11:00:00,632.11,,-403,-439,46.51,288.89,132.22,141.9,35.02,63.98,DK2,1547.71
51.99,2021-04-30T08:00:00+00:00,1073,,2021-04-30T10:00:00,639.79,,-584,-294,100.71,248.34,144.43,160.15,32.33,65.55,DK2,1546.29
